taxon_id,disease,p_value,auc,auc_effect,mean_health,mean_disease,effect_direction,n_health,n_disease
410072,D015212,0.006483218832619774,0.44257333333333326,0.05742666666666674,0.0046664726787103115,0.0037591198436774122,decreased,500,300
411484,D015212,4.6310678589051094e-07,0.6063399999999999,0.10633999999999988,0.0044882589343467226,0.006622202358813664,increased,500,300
411489,D015212,0.16350562628276788,0.4706066666666666,0.029393333333333382,0.004325266754650899,0.0038312729086424735,decreased,500,300
413889,D015212,4.104845772653556e-53,0.17639333333333335,0.32360666666666665,0.004940875501617341,0.001103023567177236,decreased,500,300
426421,D015212,0.029541452039276623,0.45409333333333335,0.04590666666666665,0.004400464264203653,0.003526652238772969,decreased,500,300
437897,D015212,8.21060227164833e-09,0.6215933333333334,0.12159333333333344,0.00455199169684672,0.0074306775420789044,increased,500,300
437898,D015212,0.19171543122891987,0.47246,0.02754000000000001,0.004300166759101809,0.0038255617935915387,decreased,500,300
454154,D015212,3.545691010493117e-38,0.22748666666666667,0.27251333333333333,0.0041582486944310385,0.001148303526581082,decreased,500,300
457392,D015212,1.5737742566937962e-25,0.7202999999999999,0.22029999999999994,0.004619197302290493,0.011015318609576857,increased,500,300
457394,D015212,4.1795380168710516e-07,0.6067533333333334,0.10675333333333337,0.0045596566213290946,0.006872565706298929,increased,500,300
457402,D015212,0.006558009968806729,0.44265333333333334,0.05734666666666666,0.004536668715751375,0.003826103068752289,decreased,500,300
457412,D015212,7.183775132358884e-56,0.16781333333333331,0.3321866666666667,0.004443414268328115,0.0009750205792783721,decreased,500,300
457415,D015212,0.09450137846098394,0.4647266666666666,0.03527333333333338,0.004358638884030584,0.003965412173204391,decreased,500,300
469586,D015212,5.684667912747107e-10,0.6307666666666667,0.1307666666666667,0.004391543084519178,0.0074205427980599615,increased,500,300
469588,D015212,0.2914668676456461,0.47774666666666665,0.022253333333333347,0.004276864109974753,0.003959966485551925,decreased,500,300
469592,D015212,1.941059220994483e-49,0.18819333333333332,0.3118066666666667,0.004864872735431831,0.0011337688485827033,decreased,500,300
469596,D015212,0.057022994701628665,0.45985333333333334,0.040146666666666664,0.00481931080070916,0.003856907649307874,decreased,500,300
487173,D015212,4.3179897471248586e-09,0.6238600000000001,0.12386000000000008,0.004553162163009203,0.007500175162151986,increased,500,300
487174,D015212,0.009592453032154533,0.44536,0.05464000000000002,0.004784898669334417,0.003543112074583692,decreased,500,300
